date,product_name,quantity,unit_price,total_price
2023-05-04,Ruler,67,3.49,233.83
2023-05-21,Eraser,33,3.9,128.7
2023-04-06,Calculator,80,3.1,248.0
2023-04-15,Pen,17,2.58,43.86
2023-04-27,Pen,21,6.09,127.89
2023-04-24,Markers,65,8.95,581.75
2023-03-23,Eraser,12,4.8,57.6
2023-03-04,Scissors,80,4.18,334.4
2023-02-26,Tape,88,4.97,437.36
2023-04-29,Scissors,12,5.29,63.48
2023-05-16,Highlighter,86,4.31,370.66
2023-04-23,Pencil,93,9.35,869.55
2023-04-04,Calculator,22,2.26,49.72
2023-04-05,Paper Clips,29,3.9,113.1
2023-05-15,Paper Clips,92,7.68,706.56
2023-02-14,Markers,61,1.75,106.75
2023-02-09,Highlighter,65,8.22,534.3
2023-02-11,Scissors,7,4.36,30.52
2023-02-13,Tape,38,7.85,298.3
2023-03-07,Scissors,63,2.73,171.99
2023-05-29,Stapler,50,9.91,495.5
2023-03-26,Stapler,26,3.29,85.54
2023-02-10,Stapler,6,7.19,43.14
2023-02-07,Markers,57,1.74,99.18
2023-01-09,Scissors,22,2.1,46.2
2023-02-11,Highlighter,65,4.47,290.55
2023-02-26,Paper Clips,27,1.86,50.22
2023-05-19,Paper Clips,42,3.16,132.72
2023-05-25,Pen,37,4.82,178.34
2023-02-13,Pencil,24,5.62,134.88
2023-04-06,Stapler,1,6.05,6.05
2023-01-16,Tape,99,7.66,758.34
2023-02-15,Markers,17,1.98,33.66
2023-03-10,Pencil,5,8.19,40.95
2023-03-10,Ruler,18,3.48,62.64
2023-04-05,Paper Clips,29,8.74,253.46
2023-03-02,Calculator,82,8.25,676.5
2023-04-01,Markers,96,4.72,453.12
2023-05-26,Markers,53,1.13,59.89
2023-01-15,Paper Clips,67,4.48,300.16
2023-04-27,Tape,18,5.47,98.46
2023-05-10,Highlighter,65,7.0,455.0
2023-05-25,Eraser,57,5.68,323.76
2023-01-30,Pen,93,6.29,584.97
2023-03-07,Highlighter,50,6.4,320.0
2023-05-12,Pencil,8,6.42,51.36
2023-04-15,Stapler,82,1.6,131.2
2023-02-21,Scissors,16,6.08,97.28
2023-01-06,Ruler,6,3.73,22.38
2023-03-30,Scissors,35,4.59,160.65
2023-03-19,Markers,73,4.86,354.78
2023-05-01,Ruler,13,4.6,59.8
2023-01-04,Markers,19,5.95,113.05
2023-04-15,Eraser,67,4.75,318.25
2023-03-30,Ruler,13,5.54,72.02
2023-05-03,Highlighter,13,8.63,112.19
2023-03-07,Tape,29,7.63,221.27
2023-02-11,Pencil,44,3.63,159.72
2023-05-03,Ruler,10,8.43,84.3
2023-05-31,Eraser,92,8.42,774.64
2023-03-29,Notebook,55,2.19,120.45
2023-04-26,Ruler,84,9.41,790.44
2023-01-26,Paper Clips,91,1.47,133.77
2023-03-17,Calculator,17,8.84,150.28
2023-04-21,Stapler,67,5.72,383.24
2023-02-24,Markers,46,6.18,284.28
2023-01-22,Pencil,99,9.66,956.34
2023-03-04,Ruler,30,6.85,205.5
2023-03-08,Notebook,36,6.04,217.44
2023-03-31,Scissors,41,7.85,321.85
2023-03-07,Stapler,85,2.16,183.6
2023-03-17,Paper Clips,54,6.29,339.66
2023-01-11,Pen,64,4.6,294.4
2023-01-26,Eraser,96,4.28,410.88
2023-02-26,Markers,69,8.84,609.96
2023-03-14,Markers,48,6.58,315.84
2023-05-11,Paper Clips,92,7.87,724.04
2023-05-13,Paper Clips,23,4.36,100.28
2023-02-17,Markers,22,6.38,140.36
2023-05-03,Markers,16,9.22,147.52
2023-02-13,Eraser,43,4.99,214.57
2023-05-24,Scissors,98,3.81,373.38
2023-05-05,Eraser,11,5.27,57.97
2023-02-13,Tape,80,8.53,682.4
2023-03-08,Ruler,99,4.58,453.42
2023-02-17,Scissors,20,7.08,141.6
2023-03-22,Scissors,32,8.33,266.56
2023-01-19,Notebook,66,3.04,200.64
2023-03-23,Pencil,12,2.02,24.24
2023-05-28,Notebook,46,3.95,181.7
2023-05-28,Stapler,12,7.47,89.64
2023-05-10,Eraser,94,7.13,670.22
2023-04-19,Stapler,29,4.65,134.85
2023-04-26,Pencil,98,3.59,351.82
2023-01-14,Tape,1,6.0,6.0
2023-01-24,Stapler,37,4.15,153.55
2023-05-19,Ruler,76,7.62,579.12
2023-05-06,Tape,18,3.71,66.78
2023-04-17,Ruler,77,4.37,336.49
2023-01-20,Notebook,77,5.89,453.53
2023-05-28,Calculator,25,9.27,231.75
2023-01-31,Pencil,46,2.66,122.36
2023-03-09,Stapler,10,2.74,27.4
2023-01-19,Stapler,4,1.33,5.32
2023-04-25,Calculator,83,3.33,276.39
2023-05-02,Paper Clips,66,6.43,424.38
2023-05-19,Pencil,58,8.75,507.5
2023-02-07,Pencil,100,2.05,205.0
2023-02-12,Paper Clips,2,9.33,18.66
2023-03-30,Calculator,66,8.37,552.42
2023-02-19,Eraser,4,7.03,28.12
2023-05-02,Paper Clips,11,1.93,21.23
2023-01-15,Calculator,49,2.22,108.78
2023-01-16,Stapler,74,1.66,122.84
2023-04-08,Notebook,1,2.23,2.23
2023-01-21,Tape,94,8.19,769.86
2023-04-12,Pen,55,5.79,318.45
2023-03-12,Highlighter,31,7.51,232.81
2023-02-06,Eraser,53,5.36,284.08
2023-05-22,Paper Clips,45,4.19,188.55
2023-02-10,Ruler,37,1.07,39.59
2023-05-26,Notebook,1,5.97,5.97
2023-05-10,Calculator,53,4.32,228.96
2023-01-05,Pen,36,1.5,54.0
2023-02-12,Paper Clips,97,9.25,897.25
2023-01-07,Ruler,3,1.84,5.52
2023-02-08,Highlighter,20,7.94,158.8
2023-03-27,Highlighter,17,1.5,25.5
2023-01-20,Highlighter,19,5.14,97.66
2023-04-23,Tape,23,6.7,154.1
2023-04-25,Scissors,1,4.25,4.25
2023-04-05,Highlighter,41,3.52,144.32
2023-02-10,Pencil,17,5.1,86.7
2023-04-21,Tape,51,4.59,234.09
